BlockId,total_log_events,unique_template_count,unique_component_count,time_duration_seconds,event_sequence_length,event_density,info_count,warn_count,error_count,other_count,tmpl_E1_count,tmpl_E10_count,tmpl_E11_count,tmpl_E12_count,tmpl_E13_count,tmpl_E14_count,tmpl_E15_count,tmpl_E16_count,tmpl_E17_count,tmpl_E18_count,tmpl_E19_count,tmpl_E2_count,tmpl_E20_count,tmpl_E21_count,tmpl_E22_count,tmpl_E23_count,tmpl_E24_count,tmpl_E25_count,tmpl_E26_count,tmpl_E27_count,tmpl_E28_count,tmpl_E29_count,tmpl_E3_count,tmpl_E30_count,tmpl_E31_count,tmpl_E32_count,tmpl_E33_count,tmpl_E34_count,tmpl_E35_count,tmpl_E36_count,tmpl_E37_count,tmpl_E38_count,tmpl_E39_count,tmpl_E4_count,tmpl_E40_count,tmpl_E41_count,tmpl_E42_count,tmpl_E43_count,tmpl_E44_count,tmpl_E45_count,tmpl_E46_count,tmpl_E47_count,tmpl_E48_count,tmpl_E5_count,tmpl_E6_count,tmpl_E7_count,tmpl_E8_count,tmpl_E9_count
blk_-1000002529962039464,0.037162162162162164,0.12499999999999999,0.16666666666666669,5.552984729291995e-05,0.037162162162162164,2.7081593072597827e-07,0.03900709219858156,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-100000266894974466,0.08783783783783784,0.2916666666666667,0.3333333333333333,0.5730310041647386,0.08783783783783784,3.9215865199058086e-11,0.08156028368794327,0.07317073170731708,0.0,0.0,0.16666666666666669,0.029556650246305417,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.07317073170731708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000007292892887521,0.037162162162162164,0.12499999999999999,0.16666666666666669,3.7019898195279965e-05,0.037162162162162164,4.0623248454783853e-07,0.03900709219858156,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000014584150379967,0.09121621621621621,0.3333333333333333,0.49999999999999994,0.5823229986117539,0.09121621621621621,4.030050740673084e-11,0.0851063829787234,0.07317073170731708,0.0,0.0,0.16666666666666669,0.029556650246305417,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.07317073170731708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000028658773048709,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.4456825543729755,0.05743243243243244,3.20065460082927e-11,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-100004553717737248,0.037162162162162164,0.12499999999999999,0.16666666666666669,0.001110596945858399,0.037162162162162164,1.352435410691048e-08,0.03900709219858156,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000054577281647820,0.0945945945945946,0.2916666666666667,0.3333333333333333,0.6118833873206849,0.0945945945945946,3.940787624850161e-11,0.0851063829787234,0.0975609756097561,0.0,0.0,0.16666666666666669,0.034482758620689655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0975609756097561,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000057191487947536,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.12216566404442389,0.05743243243243244,1.6261190810391003e-10,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000083860370843431,0.07094594594594596,0.3333333333333333,0.49999999999999994,0.8894956038870894,0.07094594594594596,1.26013063238321e-11,0.0673758865248227,0.04878048780487805,0.0,0.0,0.16666666666666669,0.0049261083743842365,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.04878048780487805,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000095285706020638,0.07432432432432433,0.3333333333333333,0.49999999999999994,0.6806663581675151,0.07432432432432433,2.3478463299473193e-11,0.07092198581560284,0.04878048780487805,0.0,0.0,0.16666666666666669,0.0049261083743842365,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.04878048780487805,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000195927844309648,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.3910967144840352,0.05743243243243244,3.8890041583616866e-11,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000218748372878626,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.4335955576122166,0.05743243243243244,3.3381369010958644e-11,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000245396392748444,0.060810810810810814,0.25,0.49999999999999994,0.6830726515502082,0.060810810810810814,1.6560250588180195e-11,0.06382978723404255,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000284891202066880,0.07094594594594596,0.3333333333333333,0.49999999999999994,0.9359185562239705,0.07094594594594596,1.1117545259941079e-11,0.07092198581560284,0.024390243902439025,0.0,0.0,0.16666666666666669,0.009852216748768473,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.024390243902439025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000285592763698141,0.08445945945945947,0.3333333333333333,0.49999999999999994,0.9925034706154559,0.08445945945945947,1.4159131574715524e-11,0.08156028368794327,0.04878048780487805,0.0,0.0,0.16666666666666669,0.019704433497536946,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.04878048780487805,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000296688806487470,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.429819527996298,0.05743243243243244,3.382672086807988e-11,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000297946873432694,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.409717723276261,0.05743243243243244,3.633573437184694e-11,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000304635958160643,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.025432670060157335,0.05743243243243244,8.469525850315384e-10,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000321454365365927,0.060810810810810814,0.25,0.49999999999999994,0.43229986117538177,0.060810810810810814,3.620939552475673e-11,0.06382978723404255,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000324420442690269,0.09121621621621621,0.3333333333333333,0.49999999999999994,0.5830633965756594,0.09121621621621621,4.0227348242665976e-11,0.0851063829787234,0.07317073170731708,0.0,0.0,0.16666666666666669,0.029556650246305417,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.07317073170731708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000350290085528508,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.39718648773715876,0.05743243243243244,3.8028331188258794e-11,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000374548084881645,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.011661267931513189,0.05743243243243244,1.8676082976651444e-09,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000410696661510773,0.060810810810810814,0.25,0.49999999999999994,0.13064322073114298,0.060810810810810814,1.597916611479251e-10,0.06382978723404255,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000495798604346871,0.08108108108108109,0.2916666666666667,0.3333333333333333,0.6248773715872282,0.08108108108108109,3.082297776815225e-11,0.07092198581560284,0.0975609756097561,0.0,0.0,0.16666666666666669,0.014778325123152709,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0975609756097561,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000498745660484093,0.08783783783783784,0.2916666666666667,0.3333333333333333,0.5860064784821842,0.08783783783783784,3.7964206339178924e-11,0.08156028368794327,0.07317073170731708,0.0,0.0,0.16666666666666669,0.029556650246305417,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.07317073170731708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000520838662594670,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.19727903748264694,0.05743243243243244,9.41063183505713e-11,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000528972392289655,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.03285515964831097,0.05743243243243244,6.517017498455291e-10,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-100054792011350725,0.037162162162162164,0.12499999999999999,0.16666666666666669,0.0015733456732993985,0.037162162162162164,9.54151108282432e-09,0.03900709219858156,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000583943604118788,0.037162162162162164,0.12499999999999999,0.16666666666666669,0.0007033780657103193,0.037162162162162164,2.136426605076929e-08,0.03900709219858156,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000639647761179183,0.07432432432432433,0.3333333333333333,0.49999999999999994,0.8967885238315595,0.07432432432432433,1.3648057043057438e-11,0.07092198581560284,0.04878048780487805,0.0,0.0,0.16666666666666669,0.0049261083743842365,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.04878048780487805,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000661083393089660,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.07863026376677465,0.05743243243243244,2.622309801437893e-10,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000691495029720688,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.13667746413697363,0.05743243243243244,1.4350835907593445e-10,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000691855402003768,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.19529847292919947,0.05743243243243244,9.523623929001524e-11,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000723577943457888,0.006756756756756757,0.04166666666666667,0.0,7.403979639055993e-05,0.006756756756756757,6.248267204178974e-08,0.0070921985815602835,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blk_-1000775598195209979,0.0945945945945946,0.3333333333333333,0.49999999999999994,0.5787320684868117,0.0945945945945946,4.265696142352518e-11,0.08865248226950355,0.07317073170731708,0.0,0.0,0.16666666666666669,0.029556650246305417,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.07317073170731708,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
blk_-1000804803887048752,0.05743243243243244,0.20833333333333331,0.3333333333333333,0.028505321610365574,0.05743243243243244,7.537915613203429e-10,0.060283687943262415,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
